Timestamp, Temp(C), DO(mg/L), Salinity(PPT), pH, Status
2026-07-23 19:34:03, 16.42, 6.28, 30.96, 7.16, ALERT: pH Error (7.16)
2026-07-23 19:34:04, 15.38, 4.67, 36.3, 8.3, ALERT: Low Oxygen (4.67 mg/L) | Salinity Error (36.3 PPT)
2026-07-23 19:34:05, 20.95, 8.36, 29.34, 7.7, System Stable
2026-07-23 19:34:06, 24.38, 6.78, 30.04, 7.47, ALERT: Temp Error (24.38°C) | pH Error (7.47)
2026-07-23 19:34:07, 19.44, 5.05, 33.99, 7.07, ALERT: pH Error (7.07)
2026-07-23 19:34:08, 12.78, 5.07, 27.73, 7.97, ALERT: Temp Error (12.78°C) | Salinity Error (27.73 PPT)
2026-07-23 19:34:09, 23.76, 5.43, 29.3, 8.57, ALERT: pH Error (8.57)
2026-07-23 19:34:10, 13.65, 5.71, 37.11, 8.76, ALERT: Temp Error (13.65°C) | Salinity Error (37.11 PPT) | pH Error (8.76)
2026-07-23 19:34:11, 15.69, 7.49, 34.73, 8.3, System Stable
2026-07-23 19:34:12, 19.65, 8.24, 38.0, 8.54, ALERT: Salinity Error (38.0 PPT) | pH Error (8.54)
2026-07-23 19:34:13, 12.02, 6.69, 28.41, 8.35, ALERT: Temp Error (12.02°C)
2026-07-23 19:34:14, 12.92, 4.48, 27.11, 8.92, ALERT: Temp Error (12.92°C) | Low Oxygen (4.48 mg/L) | Salinity Error (27.11 PPT) | pH Error (8.92)
2026-07-23 19:34:15, 25.13, 8.25, 33.41, 7.67, ALERT: Temp Error (25.13°C)
2026-07-23 19:34:16, 24.38, 7.77, 29.65, 8.8, ALERT: Temp Error (24.38°C) | pH Error (8.8)
2026-07-23 19:34:17, 25.85, 5.76, 29.09, 8.56, ALERT: Temp Error (25.85°C) | pH Error (8.56)
2026-07-23 19:34:18, 22.46, 4.07, 27.6, 7.88, ALERT: Low Oxygen (4.07 mg/L) | Salinity Error (27.6 PPT)
2026-07-23 19:34:19, 18.11, 5.52, 30.96, 8.17, System Stable
2026-07-23 19:34:20, 15.0, 7.11, 27.97, 7.83, ALERT: Salinity Error (27.97 PPT)
2026-07-23 19:34:21, 16.05, 4.68, 34.51, 7.08, ALERT: Low Oxygen (4.68 mg/L) | pH Error (7.08)
2026-07-23 19:34:22, 16.38, 8.4, 32.41, 7.79, System Stable
2026-07-23 19:34:23, 12.47, 6.13, 32.75, 8.5, ALERT: Temp Error (12.47°C)
2026-07-23 19:34:24, 24.9, 5.57, 31.4, 8.94, ALERT: Temp Error (24.9°C) | pH Error (8.94)
2026-07-23 19:34:25, 21.52, 6.37, 34.63, 7.37, ALERT: pH Error (7.37)
2026-07-23 19:34:26, 23.91, 4.8, 34.18, 8.68, ALERT: Low Oxygen (4.8 mg/L) | pH Error (8.68)
2026-07-23 19:34:27, 15.13, 5.68, 36.8, 7.85, ALERT: Salinity Error (36.8 PPT)
2026-07-23 19:34:28, 15.2, 6.67, 33.07, 7.86, System Stable
2026-07-23 19:34:29, 21.66, 5.1, 26.88, 7.63, ALERT: Salinity Error (26.88 PPT)
2026-07-23 19:34:30, 23.47, 8.33, 36.18, 7.18, ALERT: Salinity Error (36.18 PPT) | pH Error (7.18)
2026-07-23 19:34:31, 21.04, 5.06, 30.07, 7.49, ALERT: pH Error (7.49)
2026-07-23 19:34:32, 19.28, 5.35, 31.64, 7.8, System Stable
2026-07-23 19:34:33, 19.54, 7.2, 29.84, 7.55, System Stable
2026-07-23 19:34:34, 14.65, 4.89, 35.92, 8.4, ALERT: Low Oxygen (4.89 mg/L)
2026-07-23 19:34:35, 25.31, 7.9, 31.89, 7.34, ALERT: Temp Error (25.31°C) | pH Error (7.34)
2026-07-23 19:34:36, 17.15, 6.55, 37.46, 8.79, ALERT: Salinity Error (37.46 PPT) | pH Error (8.79)
2026-07-23 19:34:37, 25.7, 7.25, 37.27, 8.73, ALERT: Temp Error (25.7°C) | Salinity Error (37.27 PPT) | pH Error (8.73)
2026-07-23 19:34:38, 24.64, 4.71, 32.32, 7.51, ALERT: Temp Error (24.64°C) | Low Oxygen (4.71 mg/L)
2026-07-23 19:34:39, 21.79, 6.77, 37.59, 7.39, ALERT: Salinity Error (37.59 PPT) | pH Error (7.39)
2026-07-23 19:34:40, 13.05, 5.85, 32.85, 8.44, ALERT: Temp Error (13.05°C)
2026-07-23 19:34:41, 16.96, 8.21, 26.63, 8.47, ALERT: Salinity Error (26.63 PPT)
2026-07-23 19:34:42, 14.88, 5.74, 27.09, 7.49, ALERT: Salinity Error (27.09 PPT) | pH Error (7.49)
2026-07-23 19:34:43, 17.1, 5.63, 29.89, 7.57, System Stable
2026-07-23 19:34:44, 12.96, 5.03, 29.41, 7.57, ALERT: Temp Error (12.96°C)
2026-07-23 19:34:45, 24.23, 7.34, 26.31, 7.64, ALERT: Temp Error (24.23°C) | Salinity Error (26.31 PPT)
2026-07-23 19:34:46, 13.26, 5.76, 30.51, 8.85, ALERT: Temp Error (13.26°C) | pH Error (8.85)
2026-07-23 19:34:47, 19.28, 7.28, 26.94, 7.53, ALERT: Salinity Error (26.94 PPT)
2026-07-23 19:34:48, 14.33, 6.52, 32.62, 7.42, ALERT: pH Error (7.42)
2026-07-23 19:34:49, 12.42, 6.82, 27.81, 7.25, ALERT: Temp Error (12.42°C) | Salinity Error (27.81 PPT) | pH Error (7.25)
2026-07-23 19:34:50, 14.21, 4.19, 34.27, 7.29, ALERT: Low Oxygen (4.19 mg/L) | pH Error (7.29)
2026-07-23 19:34:51, 13.61, 4.35, 35.67, 8.28, ALERT: Temp Error (13.61°C) | Low Oxygen (4.35 mg/L)
2026-07-23 19:34:52, 18.73, 8.36, 27.62, 8.29, ALERT: Salinity Error (27.62 PPT)
2026-07-23 19:34:53, 18.78, 5.66, 31.31, 7.89, System Stable
2026-07-23 19:34:54, 24.66, 4.1, 32.9, 8.83, ALERT: Temp Error (24.66°C) | Low Oxygen (4.1 mg/L) | pH Error (8.83)
2026-07-23 19:34:55, 17.65, 5.06, 28.96, 8.33, System Stable
2026-07-23 19:34:56, 19.27, 6.4, 27.7, 8.18, ALERT: Salinity Error (27.7 PPT)
2026-07-23 19:34:57, 19.01, 7.03, 37.13, 8.72, ALERT: Salinity Error (37.13 PPT) | pH Error (8.72)
2026-07-23 19:34:58, 19.77, 5.6, 33.88, 7.22, ALERT: pH Error (7.22)
2026-07-23 19:34:59, 19.76, 4.81, 28.54, 7.87, ALERT: Low Oxygen (4.81 mg/L)
2026-07-23 19:35:00, 24.89, 4.52, 37.02, 7.12, ALERT: Temp Error (24.89°C) | Low Oxygen (4.52 mg/L) | Salinity Error (37.02 PPT) | pH Error (7.12)
2026-07-23 19:35:01, 19.42, 5.98, 37.85, 8.82, ALERT: Salinity Error (37.85 PPT) | pH Error (8.82)
2026-07-23 19:35:02, 13.73, 7.94, 26.09, 8.73, ALERT: Temp Error (13.73°C) | Salinity Error (26.09 PPT) | pH Error (8.73)
2026-07-23 19:35:03, 12.49, 4.08, 31.54, 7.93, ALERT: Temp Error (12.49°C) | Low Oxygen (4.08 mg/L)
2026-07-23 19:35:04, 19.96, 6.33, 26.74, 8.41, ALERT: Salinity Error (26.74 PPT)
2026-07-23 19:35:05, 12.94, 4.81, 29.91, 8.72, ALERT: Temp Error (12.94°C) | Low Oxygen (4.81 mg/L) | pH Error (8.72)
2026-07-23 19:35:06, 25.84, 5.1, 33.75, 8.76, ALERT: Temp Error (25.84°C) | pH Error (8.76)
2026-07-23 19:35:07, 14.5, 6.04, 28.91, 8.08, System Stable
2026-07-23 19:35:08, 22.52, 5.65, 34.87, 7.61, System Stable
2026-07-23 19:35:09, 20.23, 7.16, 33.88, 8.14, System Stable
2026-07-23 19:35:10, 13.0, 6.62, 36.18, 8.17, ALERT: Temp Error (13.0°C) | Salinity Error (36.18 PPT)
2026-07-23 19:35:11, 19.98, 4.89, 27.08, 8.79, ALERT: Low Oxygen (4.89 mg/L) | Salinity Error (27.08 PPT) | pH Error (8.79)
2026-07-23 19:35:12, 16.76, 4.6, 36.11, 8.9, ALERT: Low Oxygen (4.6 mg/L) | Salinity Error (36.11 PPT) | pH Error (8.9)
2026-07-23 19:35:13, 13.68, 6.69, 29.77, 7.5, ALERT: Temp Error (13.68°C)
2026-07-23 19:35:14, 24.6, 7.38, 30.75, 7.81, ALERT: Temp Error (24.6°C)
2026-07-23 19:35:15, 20.12, 7.88, 26.52, 7.71, ALERT: Salinity Error (26.52 PPT)
2026-07-23 19:35:16, 14.48, 6.11, 27.9, 8.72, ALERT: Salinity Error (27.9 PPT) | pH Error (8.72)
2026-07-23 19:35:17, 19.92, 6.12, 27.58, 8.07, ALERT: Salinity Error (27.58 PPT)
2026-07-23 19:35:18, 24.25, 7.15, 37.92, 8.26, ALERT: Temp Error (24.25°C) | Salinity Error (37.92 PPT)
2026-07-23 19:35:19, 12.59, 4.3, 31.76, 7.64, ALERT: Temp Error (12.59°C) | Low Oxygen (4.3 mg/L)
2026-07-23 19:35:20, 19.91, 8.24, 32.49, 7.35, ALERT: pH Error (7.35)
2026-07-23 19:35:21, 17.29, 5.87, 35.98, 8.93, ALERT: pH Error (8.93)
2026-07-23 19:35:22, 18.19, 7.26, 28.35, 7.15, ALERT: pH Error (7.15)
2026-07-23 19:35:23, 19.32, 7.51, 33.31, 8.08, System Stable
2026-07-23 19:35:24, 23.98, 7.46, 33.76, 7.08, ALERT: pH Error (7.08)
2026-07-23 19:35:25, 14.14, 4.81, 26.36, 7.03, ALERT: Low Oxygen (4.81 mg/L) | Salinity Error (26.36 PPT) | pH Error (7.03)
2026-07-23 19:35:26, 23.12, 7.91, 36.96, 7.37, ALERT: Salinity Error (36.96 PPT) | pH Error (7.37)
2026-07-23 19:35:27, 23.34, 7.34, 28.04, 7.38, ALERT: pH Error (7.38)
2026-07-23 19:35:28, 14.26, 7.31, 26.85, 7.76, ALERT: Salinity Error (26.85 PPT)
2026-07-23 19:35:29, 21.89, 6.47, 34.31, 7.2, ALERT: pH Error (7.2)
2026-07-23 19:35:30, 14.96, 6.76, 30.91, 7.0, ALERT: pH Error (7.0)
2026-07-23 19:35:31, 14.84, 6.56, 32.28, 7.25, ALERT: pH Error (7.25)
2026-07-23 19:35:32, 18.84, 6.67, 36.1, 8.94, ALERT: Salinity Error (36.1 PPT) | pH Error (8.94)
2026-07-23 19:35:33, 13.67, 6.55, 27.24, 7.25, ALERT: Temp Error (13.67°C) | Salinity Error (27.24 PPT) | pH Error (7.25)
2026-07-23 19:35:34, 19.25, 7.25, 34.21, 7.37, ALERT: pH Error (7.37)
2026-07-23 19:35:35, 14.48, 4.59, 26.1, 7.81, ALERT: Low Oxygen (4.59 mg/L) | Salinity Error (26.1 PPT)
2026-07-23 19:35:36, 21.22, 5.42, 34.51, 8.06, System Stable
2026-07-23 19:35:37, 25.98, 8.38, 28.95, 8.15, ALERT: Temp Error (25.98°C)
2026-07-23 19:35:38, 14.5, 4.19, 33.95, 7.58, ALERT: Low Oxygen (4.19 mg/L)
2026-07-23 19:35:39, 19.63, 6.79, 29.32, 7.3, ALERT: pH Error (7.3)
2026-07-23 19:35:40, 25.68, 6.29, 36.11, 7.3, ALERT: Temp Error (25.68°C) | Salinity Error (36.11 PPT) | pH Error (7.3)
2026-07-23 19:35:41, 13.37, 6.99, 34.5, 7.42, ALERT: Temp Error (13.37°C) | pH Error (7.42)
2026-07-23 19:35:42, 19.86, 6.73, 30.64, 7.57, System Stable
2026-07-23 19:35:43, 15.12, 7.53, 36.92, 7.64, ALERT: Salinity Error (36.92 PPT)
2026-07-23 19:35:44, 13.72, 5.13, 31.06, 8.85, ALERT: Temp Error (13.72°C) | pH Error (8.85)
2026-07-23 19:35:45, 25.56, 6.8, 30.67, 7.05, ALERT: Temp Error (25.56°C) | pH Error (7.05)
2026-07-23 19:35:46, 24.13, 8.14, 34.37, 7.03, ALERT: Temp Error (24.13°C) | pH Error (7.03)
2026-07-23 19:35:47, 20.19, 5.21, 28.47, 7.42, ALERT: pH Error (7.42)
2026-07-23 19:35:48, 13.38, 4.46, 33.86, 8.36, ALERT: Temp Error (13.38°C) | Low Oxygen (4.46 mg/L)
2026-07-23 19:35:49, 22.37, 6.23, 34.43, 7.38, ALERT: pH Error (7.38)
2026-07-23 19:35:50, 22.63, 7.35, 34.53, 8.08, System Stable
2026-07-23 19:35:51, 16.8, 6.57, 30.33, 8.51, ALERT: pH Error (8.51)
2026-07-23 19:35:52, 18.12, 8.13, 37.31, 7.85, ALERT: Salinity Error (37.31 PPT)
2026-07-23 19:35:53, 24.54, 7.06, 36.94, 7.53, ALERT: Temp Error (24.54°C) | Salinity Error (36.94 PPT)
2026-07-23 19:35:54, 14.81, 6.89, 30.41, 7.84, System Stable
2026-07-23 19:35:55, 15.48, 7.9, 31.18, 8.47, System Stable
2026-07-23 19:35:56, 21.0, 4.49, 30.44, 8.9, ALERT: Low Oxygen (4.49 mg/L) | pH Error (8.9)
2026-07-23 19:35:57, 24.65, 5.47, 32.05, 8.11, ALERT: Temp Error (24.65°C)
2026-07-23 19:35:58, 25.79, 7.54, 31.18, 7.3, ALERT: Temp Error (25.79°C) | pH Error (7.3)
2026-07-23 19:35:59, 23.69, 4.14, 36.07, 8.16, ALERT: Low Oxygen (4.14 mg/L) | Salinity Error (36.07 PPT)
2026-07-23 19:36:00, 17.15, 7.01, 36.0, 8.31, System Stable
2026-07-23 19:36:01, 17.89, 5.0, 37.89, 8.8, ALERT: Salinity Error (37.89 PPT) | pH Error (8.8)
2026-07-23 19:36:02, 15.37, 5.11, 26.51, 7.71, ALERT: Salinity Error (26.51 PPT)
2026-07-23 19:36:03, 22.57, 8.15, 29.44, 7.94, System Stable
2026-07-23 19:36:04, 23.38, 8.37, 29.37, 7.53, System Stable
2026-07-23 19:36:05, 21.65, 5.64, 32.49, 8.11, System Stable
2026-07-23 19:36:06, 21.57, 6.26, 28.71, 7.42, ALERT: pH Error (7.42)
2026-07-23 19:36:07, 17.65, 4.46, 33.47, 7.34, ALERT: Low Oxygen (4.46 mg/L) | pH Error (7.34)
2026-07-23 19:36:08, 22.14, 8.16, 32.8, 8.15, System Stable
2026-07-23 19:36:09, 23.61, 4.45, 28.06, 8.78, ALERT: Low Oxygen (4.45 mg/L) | pH Error (8.78)
2026-07-23 19:36:10, 17.77, 5.19, 26.05, 7.14, ALERT: Salinity Error (26.05 PPT) | pH Error (7.14)
2026-07-23 19:36:11, 13.9, 5.17, 33.19, 8.23, ALERT: Temp Error (13.9°C)
2026-07-23 19:36:12, 22.71, 4.08, 31.55, 8.21, ALERT: Low Oxygen (4.08 mg/L)
2026-07-23 19:36:13, 18.87, 7.25, 28.92, 7.83, System Stable
2026-07-23 19:36:14, 23.75, 5.33, 29.43, 7.83, System Stable
2026-07-23 19:36:15, 19.71, 4.36, 27.41, 8.64, ALERT: Low Oxygen (4.36 mg/L) | Salinity Error (27.41 PPT) | pH Error (8.64)
2026-07-23 19:36:16, 13.25, 4.46, 27.72, 7.74, ALERT: Temp Error (13.25°C) | Low Oxygen (4.46 mg/L) | Salinity Error (27.72 PPT)
2026-07-23 19:36:17, 23.71, 6.85, 37.34, 7.65, ALERT: Salinity Error (37.34 PPT)
2026-07-23 19:36:18, 14.12, 7.67, 31.75, 7.61, System Stable
2026-07-23 19:36:19, 18.08, 5.74, 28.47, 7.06, ALERT: pH Error (7.06)
2026-07-23 19:36:20, 22.36, 4.31, 34.99, 7.61, ALERT: Low Oxygen (4.31 mg/L)
2026-07-23 19:36:21, 21.81, 6.0, 30.76, 7.78, System Stable
2026-07-23 19:36:22, 22.95, 4.67, 33.45, 7.1, ALERT: Low Oxygen (4.67 mg/L) | pH Error (7.1)
2026-07-23 19:36:23, 23.63, 7.75, 37.16, 7.6, ALERT: Salinity Error (37.16 PPT)
2026-07-23 19:36:24, 14.49, 7.87, 31.51, 7.4, ALERT: pH Error (7.4)
2026-07-23 19:36:25, 20.82, 7.97, 29.76, 7.51, System Stable
2026-07-23 19:36:26, 21.73, 8.16, 28.33, 7.48, ALERT: pH Error (7.48)
2026-07-23 19:36:27, 14.69, 7.56, 31.01, 8.17, System Stable
2026-07-23 19:36:28, 16.86, 5.0, 34.87, 7.4, ALERT: pH Error (7.4)
2026-07-23 19:36:29, 15.74, 5.83, 34.1, 8.99, ALERT: pH Error (8.99)
2026-07-23 19:36:30, 21.78, 4.88, 36.43, 8.52, ALERT: Low Oxygen (4.88 mg/L) | Salinity Error (36.43 PPT) | pH Error (8.52)
2026-07-23 19:36:31, 13.49, 7.13, 37.59, 7.82, ALERT: Temp Error (13.49°C) | Salinity Error (37.59 PPT)
2026-07-23 19:36:32, 15.56, 4.28, 33.89, 7.24, ALERT: Low Oxygen (4.28 mg/L) | pH Error (7.24)
2026-07-23 19:36:34, 24.44, 5.32, 27.83, 8.52, ALERT: Temp Error (24.44°C) | Salinity Error (27.83 PPT) | pH Error (8.52)
2026-07-23 19:36:35, 12.87, 4.9, 31.57, 8.54, ALERT: Temp Error (12.87°C) | Low Oxygen (4.9 mg/L) | pH Error (8.54)
2026-07-23 19:36:36, 17.18, 5.79, 30.08, 7.04, ALERT: pH Error (7.04)
2026-07-23 19:36:37, 16.34, 6.97, 32.87, 7.42, ALERT: pH Error (7.42)
2026-07-23 19:36:38, 22.8, 8.24, 26.51, 7.65, ALERT: Salinity Error (26.51 PPT)
2026-07-23 19:36:39, 22.94, 5.47, 30.35, 8.26, System Stable
2026-07-23 19:36:40, 16.74, 7.22, 31.34, 7.37, ALERT: pH Error (7.37)
2026-07-23 19:36:41, 15.78, 5.22, 31.95, 7.45, ALERT: pH Error (7.45)
2026-07-23 19:36:42, 25.73, 7.95, 35.35, 7.38, ALERT: Temp Error (25.73°C) | pH Error (7.38)
2026-07-23 19:36:43, 15.95, 5.74, 33.24, 8.02, System Stable
2026-07-23 19:36:44, 20.18, 7.25, 32.15, 8.84, ALERT: pH Error (8.84)
2026-07-23 19:36:45, 23.03, 5.4, 31.07, 8.88, ALERT: pH Error (8.88)
2026-07-23 19:36:46, 15.79, 6.14, 36.05, 7.65, ALERT: Salinity Error (36.05 PPT)
2026-07-23 19:36:47, 21.48, 6.98, 29.01, 7.13, ALERT: pH Error (7.13)
2026-07-23 19:36:48, 16.05, 6.37, 34.23, 8.8, ALERT: pH Error (8.8)
2026-07-23 19:36:49, 21.87, 5.17, 33.08, 9.0, ALERT: pH Error (9.0)
2026-07-23 19:36:50, 19.92, 8.5, 27.24, 7.11, ALERT: Salinity Error (27.24 PPT) | pH Error (7.11)
2026-07-23 19:36:51, 16.63, 4.85, 26.31, 8.33, ALERT: Low Oxygen (4.85 mg/L) | Salinity Error (26.31 PPT)
2026-07-23 19:36:52, 21.55, 6.64, 27.42, 9.0, ALERT: Salinity Error (27.42 PPT) | pH Error (9.0)
2026-07-23 19:36:53, 15.08, 4.81, 30.46, 8.71, ALERT: Low Oxygen (4.81 mg/L) | pH Error (8.71)
2026-07-23 19:36:54, 15.76, 8.0, 30.16, 8.71, ALERT: pH Error (8.71)
2026-07-23 19:36:55, 18.74, 4.98, 29.85, 7.95, ALERT: Low Oxygen (4.98 mg/L)
2026-07-23 19:36:56, 16.03, 7.92, 34.27, 7.22, ALERT: pH Error (7.22)
2026-07-23 19:36:57, 22.91, 6.3, 32.07, 7.78, System Stable
2026-07-23 19:36:58, 15.86, 4.1, 32.61, 7.3, ALERT: Low Oxygen (4.1 mg/L) | pH Error (7.3)
2026-07-23 19:36:59, 20.7, 5.23, 37.81, 8.42, ALERT: Salinity Error (37.81 PPT)
2026-07-23 19:37:00, 25.68, 7.79, 36.68, 8.97, ALERT: Temp Error (25.68°C) | Salinity Error (36.68 PPT) | pH Error (8.97)
2026-07-23 19:37:01, 12.26, 5.13, 27.35, 7.15, ALERT: Temp Error (12.26°C) | Salinity Error (27.35 PPT) | pH Error (7.15)
2026-07-23 19:37:02, 22.4, 5.85, 37.93, 7.17, ALERT: Salinity Error (37.93 PPT) | pH Error (7.17)
2026-07-23 19:37:03, 17.41, 7.68, 32.57, 8.41, System Stable
2026-07-23 19:37:04, 24.27, 7.4, 30.7, 8.53, ALERT: Temp Error (24.27°C) | pH Error (8.53)
2026-07-23 19:37:05, 13.47, 7.19, 30.27, 8.39, ALERT: Temp Error (13.47°C)
2026-07-23 19:37:06, 12.2, 7.24, 29.08, 8.73, ALERT: Temp Error (12.2°C) | pH Error (8.73)
2026-07-23 19:37:07, 17.28, 6.31, 28.58, 8.74, ALERT: pH Error (8.74)
2026-07-23 19:37:08, 23.4, 7.24, 34.1, 7.26, ALERT: pH Error (7.26)
2026-07-23 19:37:09, 21.42, 7.96, 36.76, 7.07, ALERT: Salinity Error (36.76 PPT) | pH Error (7.07)
2026-07-23 19:37:10, 19.2, 6.61, 29.38, 8.77, ALERT: pH Error (8.77)
2026-07-23 19:37:11, 12.29, 7.87, 27.85, 8.39, ALERT: Temp Error (12.29°C) | Salinity Error (27.85 PPT)
2026-07-23 19:37:12, 16.21, 7.26, 27.44, 8.18, ALERT: Salinity Error (27.44 PPT)
2026-07-23 19:37:13, 14.72, 5.99, 29.02, 7.68, System Stable
2026-07-23 19:37:14, 12.08, 8.5, 36.6, 8.65, ALERT: Temp Error (12.08°C) | Salinity Error (36.6 PPT) | pH Error (8.65)
2026-07-23 19:37:15, 17.7, 5.95, 30.37, 8.82, ALERT: pH Error (8.82)
2026-07-23 19:37:16, 18.08, 6.6, 34.56, 7.57, System Stable
2026-07-23 19:37:17, 22.63, 4.5, 29.07, 8.56, ALERT: Low Oxygen (4.5 mg/L) | pH Error (8.56)
2026-07-23 19:37:18, 16.92, 4.01, 29.95, 8.26, ALERT: Low Oxygen (4.01 mg/L)
2026-07-23 19:37:19, 12.96, 4.4, 35.06, 8.6, ALERT: Temp Error (12.96°C) | Low Oxygen (4.4 mg/L) | pH Error (8.6)
2026-07-23 19:37:20, 20.47, 4.29, 36.92, 8.11, ALERT: Low Oxygen (4.29 mg/L) | Salinity Error (36.92 PPT)
2026-07-23 19:37:21, 12.84, 6.27, 27.1, 7.22, ALERT: Temp Error (12.84°C) | Salinity Error (27.1 PPT) | pH Error (7.22)
2026-07-23 19:37:22, 12.01, 7.61, 37.93, 7.69, ALERT: Temp Error (12.01°C) | Salinity Error (37.93 PPT)
2026-07-23 19:37:23, 15.47, 7.57, 34.17, 8.26, System Stable
2026-07-23 19:37:24, 14.26, 4.38, 29.05, 7.86, ALERT: Low Oxygen (4.38 mg/L)
2026-07-23 19:37:25, 21.41, 5.35, 31.17, 7.55, System Stable
2026-07-23 19:37:26, 24.09, 5.48, 30.28, 7.94, ALERT: Temp Error (24.09°C)
2026-07-23 19:37:27, 25.25, 7.27, 28.08, 8.1, ALERT: Temp Error (25.25°C)
2026-07-23 19:37:28, 12.42, 6.5, 33.91, 7.37, ALERT: Temp Error (12.42°C) | pH Error (7.37)
2026-07-23 19:37:29, 18.71, 7.7, 30.43, 8.58, ALERT: pH Error (8.58)
2026-07-23 19:37:30, 14.06, 7.8, 34.18, 8.55, ALERT: pH Error (8.55)
2026-07-23 19:37:31, 16.18, 5.06, 33.74, 7.95, System Stable
